,uniqueid,lon,lat,event_date,cluster
263,318772660,77.0167,10.6667,20141016,1
264,329945423,77.0167,10.6667,20141230,1
265,302913516,77.0167,10.6667,20140627,1
266,294853262,77.0167,10.6667,20140425,1
267,302569331,77.0167,10.6667,20140625,1
268,325239970,77.0167,10.6667,20141126,1
269,326340812,77.0167,10.6667,20141203,1
270,302115047,77.0167,10.6667,20140621,1
271,327898689,77.0167,10.6667,20141214,1
272,320621954,77.0167,10.6667,20141028,1
273,282826611,77.0167,10.6667,20140113,1
274,321158539,77.0167,10.6667,20141031,1
275,313185603,77.0167,10.6667,20140909,1
276,307426928,77.0167,10.6667,20140730,1
277,327839203,77.0167,10.6667,20141213,1
278,304301916,77.0167,10.6667,20140709,1
279,306374792,77.0167,10.6667,20140723,1
280,288112701,77.0167,10.6667,20140304,1
281,316293928,77.0167,10.6667,20140930,1
282,293792296,77.0167,10.6667,20140417,1
283,287709451,77.0167,10.6667,20140228,1
284,320880707,77.0167,10.6667,20141029,1
285,290814387,77.0167,10.6667,20140325,1
286,312075301,77.0167,10.6667,20140902,1
287,301631671,77.0167,10.6667,20140617,1
288,301838729,77.0167,10.6667,20140619,1
289,281531267,77.0167,10.6667,20140102,1
290,316204511,77.0167,10.6667,20140929,1
291,318594757,77.0167,10.6667,20141015,1
292,329324201,77.0167,10.6667,20141224,1
293,301198775,77.0167,10.6667,20140614,1
294,322296797,78.4833,10.6667,20141107,1
295,324870981,79.4333,10.6667,20141124,1
296,324750080,79.4333,10.6667,20141123,1
297,293975853,79.4333,10.6667,20140418,1
298,282153866,76.05,10.6,20140107,1
299,322314357,76.05,10.6,20141107,1
300,301281497,76.05,10.6,20140615,1
301,282020925,76.05,10.6,20140106,1
302,302102601,76.05,10.6,20140621,1
303,318365963,76.05,10.6,20141014,1
304,317984195,76.05,10.6,20141011,1
305,289881488,78.4167,10.6,20140318,1
306,329855526,78.4167,10.6,20141229,1
307,309519839,78.5333,10.6,20140814,1
308,281860433,77.0167,10.7333,20140105,1
309,291612833,77.5167,10.7333,20140331,3
310,299747172,77.5167,10.7333,20140603,1
311,301046049,76.25,10.0,20140613,1
312,302712853,76.5,10.0,20140619,1
313,313109774,76.5,10.0,20140908,1
314,313273539,76.5,10.0,20140811,1
315,282193109,76.5,10.0,20140108,1
316,322638970,76.5,10.0,20141103,1
317,315209483,76.5,10.0,20140824,1
318,299742339,76.5,10.0,20140603,1
319,323624686,76.5,10.0,20141116,1
320,285875939,76.5,10.0,20140207,1
321,285015829,76.5,10.0,20140108,1
322,304810307,76.5,10.0,20140712,1
323,296050860,76.5,10.0,20140505,1
324,298261663,76.5,10.0,20140522,1
325,312071274,76.5,10.0,20140901,1
326,322818994,76.5,10.0,20141111,1
327,301175167,76.5,10.0,20140614,1
328,308501919,76.5,10.0,20140708,1
329,326151643,76.5,10.0,20141202,1
330,286167370,76.5,10.0,20140210,1
331,303710832,76.5,10.0,20140604,1
332,312956769,76.5,10.0,20140908,1
333,296633381,76.5,10.0,20140509,1
334,305004038,76.5,10.0,20140714,1
335,303083166,76.5,10.0,20140629,1
336,308819819,76.5,10.0,20140802,1
337,289158581,76.5,10.0,20140210,1
338,316464515,76.5,10.0,20141001,1
339,287643736,76.5,10.0,20140228,1
340,310596571,76.5,10.0,20140822,1
341,284474066,76.5,10.0,20140202,1
342,305314835,76.5,10.0,20140716,1
343,299601807,76.5,10.0,20140601,1
344,284306177,76.5,10.0,20140131,1
345,317265775,76.5,10.0,20140930,1
346,285582813,76.5,10.0,20140113,1
347,292433450,76.5,10.0,20140407,1
348,320234361,76.5,10.0,20141025,1
349,326815882,76.5,10.0,20141106,1
350,283553250,76.5,10.0,20140126,1
351,286087481,76.5,10.0,20140209,1
352,316738445,76.5,10.0,20141002,1
353,283466484,76.5,10.0,20140121,1
354,308338934,76.5,10.0,20140707,1
355,292852068,76.5,10.0,20140410,1
356,323176321,76.5,10.0,20141113,1
357,324741303,76.5,10.0,20141123,1
358,287891029,76.5,10.0,20140302,1
359,285142653,76.5,10.0,20140109,1
360,315587167,76.5,10.0,20140925,1
361,293334077,76.5,10.0,20140414,1
362,326313619,76.5,10.0,20141126,1
363,303573013,76.5,10.0,20140626,1
364,300194643,76.5,10.0,20140606,1
365,284215317,76.5,10.0,20140131,1
366,297216245,76.5,10.0,20140514,1
367,287435840,76.5,10.0,20140219,1
368,302171127,76.5,10.0,20140523,1
369,327522306,76.5,10.0,20141204,1
370,300932951,76.3833,10.7667,20140612,1
371,307844779,79.65,10.7667,20140802,1
372,307744116,79.65,10.7667,20140801,1
373,316147564,79.65,10.7667,20140929,1
374,316756053,79.65,10.7667,20141003,1
375,318973495,79.65,10.7667,20141017,1
376,327449329,79.65,10.7667,20141210,1
377,316319436,79.65,10.7667,20140930,1
378,324633355,79.65,10.7667,20141122,1
379,324273499,79.65,10.7667,20141120,1
380,300406756,79.65,10.7667,20140608,1
381,286712344,79.8333,10.7667,20140220,1
382,324750105,79.8333,10.7667,20141123,1
383,312748868,79.8333,10.7667,20140905,1
384,285311219,79.8333,10.7667,20140210,1
385,296634047,79.8333,10.7667,20140509,1
386,327253968,79.8333,10.7667,20141209,1
387,329441055,79.8333,10.7667,20141225,1
388,301407873,79.8333,10.7667,20140616,1
389,302566241,79.8333,10.7667,20140625,1
390,307451416,79.8333,10.7667,20140730,1
391,286378702,79.8333,10.7667,20140218,1
392,320617565,79.8333,10.7667,20141027,1
393,309829637,79.8333,10.7667,20140816,1
394,293926716,79.8333,10.7667,20140418,1
395,327779559,79.8333,10.7667,20141212,1
396,314474884,79.8333,10.7667,20140917,1
397,311430702,79.8333,10.7667,20140828,1
398,301996246,79.8333,10.7667,20140620,1
399,318867005,79.8333,10.7667,20141016,1
400,293238870,79.8333,10.7667,20140413,1
401,302467352,79.8333,10.7667,20140624,1
402,316080493,79.8333,10.7667,20140928,1
403,324870991,79.8333,10.7667,20141124,1
404,316467124,79.8333,10.7667,20141001,1
405,296002210,79.8333,10.7667,20140504,1
406,311265651,79.8333,10.7667,20140827,1
407,287447247,79.8333,10.7667,20140226,1
408,324634123,79.8333,10.7667,20141122,1
409,316204381,79.8333,10.7667,20140929,1
410,309876172,79.8333,10.7667,20140817,1
411,303907991,79.8333,10.7667,20140706,1
412,300488265,79.8333,10.7667,20140609,1
413,315642324,79.8333,10.7667,20140925,1
414,309323442,79.8333,10.7667,20140813,1
415,300435358,79.8333,10.7667,20140608,1
416,298267189,76.6514,10.7725,20140522,0
417,311321882,76.6514,10.7725,20140827,0
418,315288377,76.6514,10.7725,20140923,1
419,325888159,76.6514,10.7725,20141201,1
420,292452812,76.6514,10.7725,20140407,0
421,283695144,76.6514,10.7725,20140127,1
422,329039767,76.6514,10.7725,20141222,1
423,311776799,76.6514,10.7725,20140830,1
424,282617962,76.6514,10.7725,20140111,1
425,305379568,76.6514,10.7725,20140716,0
426,285742429,76.6514,10.7725,20140213,1
427,325651949,76.6514,10.7725,20141129,1
428,283877975,76.6514,10.7725,20140128,1
429,285224244,76.6514,10.7725,20140209,1
430,283087851,76.6514,10.7725,20140115,1
431,283365563,76.6514,10.7725,20140117,1
432,283384134,76.6514,10.7725,20140118,1
433,305054560,76.6514,10.7725,20140714,1
434,288680021,76.6514,10.7725,20140308,1
435,326491021,76.6514,10.7725,20141204,1
436,300615842,76.6514,10.7725,20140610,1
437,292349424,76.6514,10.7725,20140406,1
438,295489525,77.8833,10.7,20140430,1
439,307983282,78.7167,10.7,20140803,1
440,308110455,78.7167,10.7,20140804,1
441,282993318,78.6856,10.805,20140114,1
442,299738255,78.6856,10.805,20140527,1
443,329454718,78.6856,10.805,20141225,1
444,312980630,78.6856,10.805,20140908,1
445,329044389,78.6856,10.805,20141222,1
446,314541573,78.6856,10.805,20140918,1
447,317451057,78.6856,10.805,20141008,1
448,300059467,78.6856,10.805,20140605,1
449,315216573,78.6856,10.805,20140923,1
450,314730187,78.6856,10.805,20140919,1
451,309912296,78.6856,10.805,20140817,1
452,325200702,78.6856,10.805,20141126,1
453,324094829,78.6856,10.805,20141119,1
